State,Cases
California,739
Texas,439
Florida,357
Arizona,218
Georgia,184
Colorado,180
North Carolina,152
Oklahoma,150
Ohio,148
Tennessee,138
Washington,127
Missouri,122
Illinois,109
Pennsylvania,107
Indiana,102
New Mexico,99
Virginia,98
Louisiana,97
Alabama,93
New York,93
Kentucky,90
Wisconsin,88
Nevada,87
Michigan,86
Maryland,82
Oregon,80
South Carolina,79
Arkansas,66
Mississippi,62
Minnesota,62
Utah,60
New Jersey,55
Kansas,52
Idaho,42
West Virginia,37
Massachusetts,32
Alaska,31
Iowa,30
Nebraska,28
Montana,26
Hawaii,23
Maine,19
Connecticut,16
New Hampshire,14
Wyoming,13
South Dakota,12
Delaware,11
North Dakota,9
Vermont,7
Rhode Island,2
